Parameter Code,POC,Parameter Name,Duration Description,Date (Local),Year,Day In Year (Local),Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,Nonreg First Maximum Value,First Maximum Value,First Maximum Hour,AQI,Daily Criteria Indicator,Data Source
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-04,2025,35,Micrograms/cubic meter (LC),1,100.0,14.9,,14.9,0,62,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-04,2025,35,Micrograms/cubic meter (25 C),24,100.0,36.1375,,61.9,18,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-04,2025,35,Micrograms/cubic meter (25 C),1,100.0,36.0,,36.0,23,33,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-05,2025,36,Micrograms/cubic meter (LC),24,100.0,7.379167,,16.7,9,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-05,2025,36,Micrograms/cubic meter (LC),1,100.0,7.3,,7.3,0,41,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-05,2025,36,Micrograms/cubic meter (LC),1,100.0,7.3,,7.3,0,41,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-05,2025,36,Micrograms/cubic meter (25 C),24,100.0,27.779167,,85.2,10,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-05,2025,36,Micrograms/cubic meter (25 C),1,100.0,27.0,,27.0,23,25,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-06,2025,37,Micrograms/cubic meter (LC),24,100.0,4.158333,,7.3,19,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-06,2025,37,Micrograms/cubic meter (LC),1,100.0,4.1,,4.1,0,23,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-06,2025,37,Micrograms/cubic meter (LC),1,100.0,4.1,,4.1,0,23,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-06,2025,37,Micrograms/cubic meter (25 C),1,100.0,17.0,,17.0,23,16,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-06,2025,37,Micrograms/cubic meter (25 C),24,100.0,17.275,,28.8,19,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-07,2025,38,Micrograms/cubic meter (LC),24,100.0,8.5875,,21.1,18,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-07,2025,38,Micrograms/cubic meter (LC),1,100.0,8.5,,8.5,0,47,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-07,2025,38,Micrograms/cubic meter (LC),1,100.0,8.5,,8.5,0,47,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-07,2025,38,Micrograms/cubic meter (25 C),24,100.0,39.254167,,83.9,18,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-07,2025,38,Micrograms/cubic meter (25 C),1,100.0,39.0,,39.0,23,36,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-08,2025,39,Micrograms/cubic meter (LC),24,100.0,6.416667,,10.2,10,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-08,2025,39,Micrograms/cubic meter (LC),1,100.0,6.4,,6.4,0,36,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-08,2025,39,Micrograms/cubic meter (LC),1,100.0,6.4,,6.4,0,36,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-08,2025,39,Micrograms/cubic meter (25 C),24,100.0,16.079167,,20.7,3,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-08,2025,39,Micrograms/cubic meter (25 C),1,100.0,16.0,,16.0,23,15,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-09,2025,40,Micrograms/cubic meter (LC),24,100.0,4.716667,,6.8,8,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-09,2025,40,Micrograms/cubic meter (LC),1,100.0,4.7,,4.7,0,26,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-09,2025,40,Micrograms/cubic meter (LC),1,100.0,4.7,,4.7,0,26,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-09,2025,40,Micrograms/cubic meter (25 C),24,100.0,13.1,,20.9,20,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-09,2025,40,Micrograms/cubic meter (25 C),1,100.0,13.0,,13.0,23,12,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-10,2025,41,Micrograms/cubic meter (LC),22,92.0,4.490909,,6.5,12,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-10,2025,41,Micrograms/cubic meter (LC),1,100.0,4.4,,4.4,0,24,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-10,2025,41,Micrograms/cubic meter (LC),1,100.0,4.4,,4.4,0,24,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-10,2025,41,Micrograms/cubic meter (25 C),22,92.0,14.25,,27.6,12,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-10,2025,41,Micrograms/cubic meter (25 C),1,100.0,14.0,,14.0,23,13,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-11,2025,42,Micrograms/cubic meter (LC),24,100.0,9.445833,,13.2,19,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-11,2025,42,Micrograms/cubic meter (LC),1,100.0,9.4,,9.4,0,52,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-11,2025,42,Micrograms/cubic meter (LC),1,100.0,9.4,,9.4,0,52,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-11,2025,42,Micrograms/cubic meter (25 C),24,100.0,19.079167,,29.4,17,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-11,2025,42,Micrograms/cubic meter (25 C),1,100.0,19.0,,19.0,23,18,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-12,2025,43,Micrograms/cubic meter (LC),24,100.0,6.395833,,12.3,23,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-12,2025,43,Micrograms/cubic meter (LC),1,100.0,6.3,,6.3,0,35,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-12,2025,43,Micrograms/cubic meter (LC),1,100.0,6.3,,6.3,0,35,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-12,2025,43,Micrograms/cubic meter (25 C),24,100.0,11.95,,23.1,23,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-12,2025,43,Micrograms/cubic meter (25 C),1,100.0,11.0,,11.0,23,10,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-13,2025,44,Micrograms/cubic meter (LC),24,100.0,22.6,,37.5,23,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-13,2025,44,Micrograms/cubic meter (LC),1,100.0,22.6,,22.6,0,76,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-13,2025,44,Micrograms/cubic meter (LC),1,100.0,22.6,,22.6,0,76,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-13,2025,44,Micrograms/cubic meter (25 C),24,100.0,42.1,,63.2,19,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-13,2025,44,Micrograms/cubic meter (25 C),1,100.0,42.0,,42.0,23,39,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-14,2025,45,Micrograms/cubic meter (LC),24,100.0,21.604167,,39.1,0,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-14,2025,45,Micrograms/cubic meter (LC),1,100.0,21.6,,21.6,0,74,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-14,2025,45,Micrograms/cubic meter (LC),1,100.0,21.6,,21.6,0,74,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-14,2025,45,Micrograms/cubic meter (25 C),24,100.0,43.375,,77.1,10,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-14,2025,45,Micrograms/cubic meter (25 C),1,100.0,43.0,,43.0,23,40,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-15,2025,46,Micrograms/cubic meter (LC),24,100.0,13.879167,,26.0,1,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-15,2025,46,Micrograms/cubic meter (LC),1,100.0,13.8,,13.8,0,60,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-15,2025,46,Micrograms/cubic meter (LC),1,100.0,13.8,,13.8,0,60,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-15,2025,46,Micrograms/cubic meter (25 C),24,100.0,19.770833,,36.8,1,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-15,2025,46,Micrograms/cubic meter (25 C),1,100.0,19.0,,19.0,23,18,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-16,2025,47,Micrograms/cubic meter (LC),24,100.0,13.95,,23.0,2,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-16,2025,47,Micrograms/cubic meter (LC),1,100.0,13.9,,13.9,0,60,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-16,2025,47,Micrograms/cubic meter (LC),1,100.0,13.9,,13.9,0,60,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-16,2025,47,Micrograms/cubic meter (25 C),24,100.0,21.291667,,30.6,1,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-16,2025,47,Micrograms/cubic meter (25 C),1,100.0,21.0,,21.0,23,19,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-17,2025,48,Micrograms/cubic meter (LC),24,100.0,12.8875,,16.0,10,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-17,2025,48,Micrograms/cubic meter (LC),1,100.0,12.8,,12.8,0,58,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-17,2025,48,Micrograms/cubic meter (LC),1,100.0,12.8,,12.8,0,58,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-17,2025,48,Micrograms/cubic meter (25 C),24,100.0,20.25,,25.1,0,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-17,2025,48,Micrograms/cubic meter (25 C),1,100.0,20.0,,20.0,23,19,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-18,2025,49,Micrograms/cubic meter (LC),24,100.0,12.716667,,15.8,5,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-18,2025,49,Micrograms/cubic meter (LC),1,100.0,12.7,,12.7,0,58,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-18,2025,49,Micrograms/cubic meter (LC),1,100.0,12.7,,12.7,0,58,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-18,2025,49,Micrograms/cubic meter (25 C),24,100.0,20.479167,,26.8,6,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-18,2025,49,Micrograms/cubic meter (25 C),1,100.0,20.0,,20.0,23,19,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-19,2025,50,Micrograms/cubic meter (LC),24,100.0,12.65,,22.6,13,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-19,2025,50,Micrograms/cubic meter (LC),1,100.0,12.6,,12.6,0,58,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-19,2025,50,Micrograms/cubic meter (LC),1,100.0,12.6,,12.6,0,58,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-19,2025,50,Micrograms/cubic meter (25 C),24,100.0,25.375,,47.2,13,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-19,2025,50,Micrograms/cubic meter (25 C),1,100.0,25.0,,25.0,23,23,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-20,2025,51,Micrograms/cubic meter (LC),24,100.0,15.283333,,24.6,14,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-20,2025,51,Micrograms/cubic meter (LC),1,100.0,15.2,,15.2,0,62,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-20,2025,51,Micrograms/cubic meter (LC),1,100.0,15.2,,15.2,0,62,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-20,2025,51,Micrograms/cubic meter (25 C),24,100.0,26.404167,,36.9,14,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-20,2025,51,Micrograms/cubic meter (25 C),1,100.0,26.0,,26.0,23,24,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-21,2025,52,Micrograms/cubic meter (LC),22,92.0,9.918182,,23.9,5,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-21,2025,52,Micrograms/cubic meter (LC),1,100.0,9.9,,9.9,0,52,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-21,2025,52,Micrograms/cubic meter (LC),1,100.0,9.9,,9.9,0,52,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-21,2025,52,Micrograms/cubic meter (25 C),22,92.0,19.1,,33.9,18,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-21,2025,52,Micrograms/cubic meter (25 C),1,100.0,19.0,,19.0,23,18,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-22,2025,53,Micrograms/cubic meter (LC),24,100.0,11.7625,,29.4,19,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-22,2025,53,Micrograms/cubic meter (LC),1,100.0,11.7,,11.7,0,56,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-22,2025,53,Micrograms/cubic meter (LC),1,100.0,11.7,,11.7,0,56,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-22,2025,53,Micrograms/cubic meter (25 C),24,100.0,30.758333,,76.3,19,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-22,2025,53,Micrograms/cubic meter (25 C),1,100.0,30.0,,30.0,23,28,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-23,2025,54,Micrograms/cubic meter (LC),24,100.0,4.595833,,9.5,2,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-23,2025,54,Micrograms/cubic meter (LC),1,100.0,4.5,,4.5,0,25,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-23,2025,54,Micrograms/cubic meter (LC),1,100.0,4.5,,4.5,0,25,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-23,2025,54,Micrograms/cubic meter (25 C),24,100.0,13.9375,,25.3,2,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-23,2025,54,Micrograms/cubic meter (25 C),1,100.0,13.0,,13.0,23,12,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-24,2025,55,Micrograms/cubic meter (LC),24,100.0,1.9,,2.7,16,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-24,2025,55,Micrograms/cubic meter (LC),1,100.0,1.9,,1.9,0,11,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-24,2025,55,Micrograms/cubic meter (LC),1,100.0,1.9,,1.9,0,11,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-24,2025,55,Micrograms/cubic meter (25 C),24,100.0,14.804167,,33.8,15,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-24,2025,55,Micrograms/cubic meter (25 C),1,100.0,14.0,,14.0,23,13,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-25,2025,56,Micrograms/cubic meter (LC),24,100.0,2.8375,,5.8,10,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-25,2025,56,Micrograms/cubic meter (LC),1,100.0,2.8,,2.8,0,16,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-25,2025,56,Micrograms/cubic meter (LC),1,100.0,2.8,,2.8,0,16,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-25,2025,56,Micrograms/cubic meter (25 C),24,100.0,20.4125,,106.2,10,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-25,2025,56,Micrograms/cubic meter (25 C),1,100.0,20.0,,20.0,23,19,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-26,2025,57,Micrograms/cubic meter (LC),24,100.0,2.641667,,6.6,21,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-26,2025,57,Micrograms/cubic meter (LC),1,100.0,2.6,,2.6,0,14,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-26,2025,57,Micrograms/cubic meter (LC),1,100.0,2.6,,2.6,0,14,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-26,2025,57,Micrograms/cubic meter (25 C),24,100.0,11.441667,,26.8,21,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-26,2025,57,Micrograms/cubic meter (25 C),1,100.0,11.0,,11.0,23,10,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-27,2025,58,Micrograms/cubic meter (LC),24,100.0,4.625,,8.4,23,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-27,2025,58,Micrograms/cubic meter (LC),1,100.0,4.6,,4.6,0,26,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-27,2025,58,Micrograms/cubic meter (LC),1,100.0,4.6,,4.6,0,26,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-27,2025,58,Micrograms/cubic meter (25 C),24,100.0,21.954167,,52.8,18,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-27,2025,58,Micrograms/cubic meter (25 C),1,100.0,21.0,,21.0,23,19,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-02-28,2025,59,Micrograms/cubic meter (LC),22,92.0,6.327273,,16.1,21,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-28,2025,59,Micrograms/cubic meter (LC),1,100.0,6.3,,6.3,0,35,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-02-28,2025,59,Micrograms/cubic meter (LC),1,100.0,6.3,,6.3,0,35,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-02-28,2025,59,Micrograms/cubic meter (25 C),22,92.0,30.663636,,61.9,21,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-02-28,2025,59,Micrograms/cubic meter (25 C),1,100.0,30.0,,30.0,23,28,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-03-01,2025,60,Micrograms/cubic meter (LC),24,100.0,6.208333,,14.4,20,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-03-01,2025,60,Micrograms/cubic meter (LC),1,100.0,6.2,,6.2,0,34,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-03-01,2025,60,Micrograms/cubic meter (LC),1,100.0,6.2,,6.2,0,34,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-03-01,2025,60,Micrograms/cubic meter (25 C),24,100.0,25.470833,,50.8,20,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-03-01,2025,60,Micrograms/cubic meter (25 C),1,100.0,25.0,,25.0,23,23,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-03-02,2025,61,Micrograms/cubic meter (LC),24,100.0,5.829167,,14.1,19,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-03-02,2025,61,Micrograms/cubic meter (LC),1,100.0,5.8,,5.8,0,32,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-03-02,2025,61,Micrograms/cubic meter (LC),1,100.0,5.8,,5.8,0,32,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-03-02,2025,61,Micrograms/cubic meter (25 C),24,100.0,19.620833,,48.5,19,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-03-02,2025,61,Micrograms/cubic meter (25 C),1,100.0,19.0,,19.0,23,18,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-03-03,2025,62,Micrograms/cubic meter (LC),24,100.0,5.758333,,13.3,8,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-03-03,2025,62,Micrograms/cubic meter (LC),1,100.0,5.7,,5.7,0,32,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-03-03,2025,62,Micrograms/cubic meter (LC),1,100.0,5.7,,5.7,0,32,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-03-03,2025,62,Micrograms/cubic meter (25 C),24,100.0,31.479167,,91.0,8,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-03-03,2025,62,Micrograms/cubic meter (25 C),1,100.0,31.0,,31.0,23,29,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-03-04,2025,63,Micrograms/cubic meter (LC),24,100.0,2.9125,,8.9,3,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-03-04,2025,63,Micrograms/cubic meter (LC),1,100.0,2.9,,2.9,0,16,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-03-04,2025,63,Micrograms/cubic meter (LC),1,100.0,2.9,,2.9,0,16,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-03-04,2025,63,Micrograms/cubic meter (25 C),1,100.0,9.0,,9.0,23,8,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-03-04,2025,63,Micrograms/cubic meter (25 C),24,100.0,9.425,,17.9,3,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-03-05,2025,64,Micrograms/cubic meter (LC),24,100.0,4.483333,,6.3,14,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-03-05,2025,64,Micrograms/cubic meter (LC),1,100.0,4.4,,4.4,0,24,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-03-05,2025,64,Micrograms/cubic meter (LC),1,100.0,4.4,,4.4,0,24,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-03-05,2025,64,Micrograms/cubic meter (25 C),1,100.0,14.0,,14.0,23,13,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-03-05,2025,64,Micrograms/cubic meter (25 C),24,100.0,14.058333,,24.4,15,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-03-06,2025,65,Micrograms/cubic meter (LC),24,100.0,6.295833,,8.5,7,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-03-06,2025,65,Micrograms/cubic meter (LC),1,100.0,6.2,,6.2,0,34,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-03-06,2025,65,Micrograms/cubic meter (LC),1,100.0,6.2,,6.2,0,34,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-03-06,2025,65,Micrograms/cubic meter (25 C),24,100.0,15.55,,26.3,18,.,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-03-06,2025,65,Micrograms/cubic meter (25 C),1,100.0,15.0,,15.0,23,14,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-03-07,2025,66,Micrograms/cubic meter (LC),24,100.0,5.683333,,10.6,23,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-03-07,2025,66,Micrograms/cubic meter (LC),1,100.0,5.6,,5.6,0,31,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,24-HR BLK AVG,2025-03-07,2025,66,Micrograms/cubic meter (LC),1,100.0,5.6,,5.6,0,31,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,24-HR BLK AVG,2025-03-07,2025,66,Micrograms/cubic meter (25 C),1,100.0,11.0,,11.0,23,10,Y,AQS Data Mart
81102,4,PM10 Total 0-10um STP,1 HOUR,2025-03-07,2025,66,Micrograms/cubic meter (25 C),24,100.0,11.833333,,19.4,14,.,Y,AQS Data Mart
88101,4,PM2.5 - Local Conditions,1 HOUR,2025-03-08,2025,67,Micrograms/cubic meter (LC),24,100.0,6.170833,,10.8,0,.,Y,AQS Data Mart
